obs, insertion, bubble, selection, merge, type
1, .105, .126, .110, .085, List
1, .128, .084, .063, .080, Array
2, 1.669, .633, .271, 2.329, List
2, .103, .152, .204, .184, Array
3, .336, .329, .389, .173, List
3, .148, .302, .234, .204, Array
4, .339, .287, .405, .073, List
4, .130, .447, .382, .268, Array
5, .838, .502, .646, .078, List
5, .151, .872, .572, .391, Array
6, 1.408, .727, 2.009, .211, List
6, .140, .765, .526, .176, Array
7, 1.984, .846, .432, .163, List
7, .257, 3.452, 2.332, .245, Array
8, .489, .948, .415, .177, List
8, .300, .362, .359, .289, Array
9, .539, 1.122, .351, .163, List
9, .336, .447, .417, .325, Array
10, .663, .389, .421, .199, List
10, .526, .477, .459, .350, Array
11, .490, .227, .428, .127, List
11, .276, .149, .315, .228, Array
12, .558, .264, .507, .142, List
12, .257, .142, .384, .248, Array
13, .418, .251, .587, .153, List
13, .290, .226, .757, .634, Array
14, .738, .270, .670, .163, List
14, .521, .269, .830, .381, Array
15, .638, .317, .766, .202, List
15, .185, .333, .955, .213, Array
16, .586, .307, .896, .263, List
16, .245, .113, .790, .148, Array
17, .632, .318, .962, .214, List
17, .105, .108, .748, .132, Array
18, .588, .324, 1.063, .253, List
18, .109, .123, .231, .135, Array
19, .756, .355, 1.218, .306, List
19, .133, .133, .946, .140, Array
20, .882, .373, 1.503, .329, List
20, .231, .219, 1.765, 1.868, Array
21, .914, .363, 1.619, .349, List
21, .229, .268, 1.943, .264, Array
22, 1.013, .557, 1.742, .356, List
22, .250, .292, 2.127, .266, Array
23, 1.094, .449, 1.981, .394, List
23, .200, .308, 2.100, .399, Array
24, 1.024, .270, 1.829, .218, List
24, .231, .328, .483, .196, Array
25, 1.095, .178, 2.062, .209, List
25, .262, .387, .942, .409, Array
26, 1.095, .233, 2.171, .181, List
26, .192, .361, .930, .415, Array
27, 1.184, .310, 2.345, .211, List
27, .268, .396, .886, .307, Array
28, 1.241, .261, 2.568, .240, List
28, .225, .385, .722, 1.130, Array
29, 1.339, .289, 2.541, .184, List
29, .089, .283, .578, .207, Array
30, 1.328, .212, 2.634, .352, List
30, .043, .286, .530, .108, Array
31, 1.439, .207, 2.770, .200, List
31, .046, .321, .547, .109, Array
32, 1.403, .237, 2.994, .219, List
32, .050, .324, .586, .117, Array
33, 1.578, .164, 3.050, .114, List
33, .050, .330, .612, .123, Array
34, 1.549, .176, 3.221, .112, List
34, .049, .356, .648, .120, Array
35, 1.658, .184, 3.521, .125, List
35, .048, .398, .730, .130, Array
36, 2.545, .185, 3.638, .116, List
36, .050, .396, .724, .125, Array
37, 2.216, .181, 3.831, .118, List
37, .052, .417, .766, .129, Array
38, 1.963, .185, 4.028, .120, List
38, .052, .436, .805, .136, Array
39, 2.102, .197, 5.156, .169, List
39, .086, .670, 1.275, .193, Array
40, 2.417, .321, 4.472, .132, List
40, .055, .480, .889, .159, Array
41, 2.298, .224, 4.730, .140, List
41, .058, .509, .934, .143, Array
42, 2.411, .209, 4.938, .146, List
42, .058, .529, .983, .158, Array
43, 2.545, .231, 5.201, .183, List
43, .085, .891, 1.074, .156, Array
44, 2.682, .203, 5.422, .138, List
44, .060, .560, 1.056, .161, Array
45, 2.830, .232, 5.675, .153, List
45, .061, .868, 1.672, .258, Array
46, 3.660, .243, 5.947, .147, List
46, .060, .616, 1.156, .183, Array
47, 3.077, .236, 6.149, .151, List
47, .062, .642, 1.200, .168, Array
48, 3.202, .257, 6.441, .164, List
48, .065, .672, 1.263, .175, Array
49, 3.436, .236, 6.706, .174, List
49, .067, .756, 1.314, .171, Array
50, 3.487, .256, 6.975, .170, List
50, .065, .720, 1.365, .177, Array
51, 3.753, .270, 7.303, .169, List
51, .068, .751, 1.410, .181, Array
52, 4.360, .287, 7.646, .182, List
52, .070, .786, 1.471, .194, Array
53, 4.014, .282, 7.907, .173, List
53, .071, .879, 1.536, .187, Array
54, 4.169, .288, 8.184, .258, List
54, .072, .833, 1.599, .185, Array
55, 4.252, .253, 8.752, .185, List
55, .070, .861, 1.635, .197, Array
56, 4.400, .277, 8.984, .193, List
56, .075, .919, 1.888, .209, Array
57, 4.581, .288, 9.126, .187, List
57, .072, 2.438, 1.752, .202, Array
58, 4.957, .308, 9.476, .192, List
58, .074, .962, 1.977, .204, Array
59, 4.877, .269, 9.905, .188, List
59, .071, .996, 1.856, .161, Array
60, 6.452, .315, 10.260, .198, List
60, .074, 1.014, 1.930, .157, Array
61, 5.209, .258, 10.564, .220, List
61, .077, 1.038, 2.029, .213, Array
62, 5.365, .295, 10.647, .193, List
62, .074, 1.081, 2.131, .174, Array
63, 5.556, .315, 11.262, .211, List
63, .077, 1.106, 2.104, .166, Array
64, 5.758, .306, 12.570, .261, List
64, .076, 1.192, 2.226, .173, Array
65, 5.941, .614, 11.783, .213, List
65, .084, 1.184, 2.240, .181, Array
66, 6.125, .330, 12.825, .237, List
66, .080, 1.215, 2.333, .178, Array
67, 6.293, .350, 13.111, .220, List
67, .082, 1.288, 2.389, .178, Array
68, 6.487, .346, 12.953, .221, List
68, .080, 1.283, 2.468, .179, Array
69, 6.832, .342, 13.286, .250, List
69, .082, 1.323, 2.520, .184, Array
70, 6.920, .349, 13.944, .242, List
70, .084, 1.357, 2.812, .185, Array
71, 7.162, .352, 14.056, .228, List
71, .084, 1.389, 2.672, .205, Array
72, 7.284, .339, 14.452, .233, List
72, .086, 1.445, 2.750, .190, Array
73, 7.496, .378, 14.873, .241, List
73, .088, 1.473, 2.826, .192, Array
74, 8.110, .379, 15.510, .243, List
74, .089, 1.510, 2.913, .202, Array
75, 8.010, .374, 15.793, .242, List
75, .089, 1.562, 2.981, .199, Array
76, 8.617, .424, 16.166, .265, List
76, .090, 1.583, 3.058, .204, Array
77, 8.367, .682, 26.048, .301, List
77, .090, 1.818, 3.123, .212, Array
78, 8.741, .386, 16.992, .257, List
78, .092, 1.677, 3.214, .212, Array
79, 9.899, .371, 17.539, .264, List
79, .092, 1.779, 3.340, .213, Array
80, 9.167, .412, 17.922, .276, List
80, .094, 1.817, 3.365, .217, Array
81, 9.829, .414, 18.486, .270, List
81, .102, 1.824, 3.469, .216, Array
82, 9.574, .406, 18.827, .269, List
82, .097, 1.870, 3.561, .226, Array
83, 10.163, .390, 19.593, .284, List
83, .097, 3.118, 7.071, .439, Array
84, 10.182, .370, 19.661, .271, List
84, .099, 1.934, 3.778, .233, Array
85, 10.444, .439, 20.271, .284, List
85, .102, 1.986, 3.806, .237, Array
86, 11.757, .416, 20.646, .280, List
86, .101, 2.011, 3.881, .236, Array
87, 11.147, .417, 21.328, .288, List
87, .100, 2.066, 3.995, .233, Array
88, 10.889, .405, 22.041, .294, List
88, .106, 2.137, 4.064, .245, Array
89, 17.288, .406, 21.982, .304, List
89, .104, 2.147, 4.129, .269, Array
90, 11.430, .449, 22.992, .312, List
90, .106, 2.191, 4.367, .276, Array
91, 11.620, .428, 23.713, .306, List
